Variable,EMS_Code,Use,Media,Term,Samples,Notes,Phototoxic,Condition,MinimumLimit,MaximumLimit,Units,Statistic,WQG_Type,Reference,Reference Link,Overview Report Link,Technical Document Link
Hexachlorocyclohexane (Lindane),L002,Aquatic Life - Freshwater,Water,Long,,,,,,0.01,µg/L,mean,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
Hexachlorocyclohexane (Lindane),L002,Agriculture - Livestock,Water,Long,,,,,,4,µg/L,mean,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
Hexachlorocyclohexane (Lindane-gamma BHC),L002,Aquatic Life - Freshwater,Sediment,Long,,Interim Sediment Quality Guideline,,,,0.00094,µg/g,mean,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
Hexachlorocyclohexane (Lindane-gamma BHC),L002,Aquatic Life - Freshwater,Sediment,Long,,Probable Effect Level,,,,0.00138,µg/g,mean,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
Hexachlorocyclohexane (Lindane-gamma BHC),L002,Aquatic Life - Marine,Sediment,Long,,Interim Sediment Quality Guideline,,,,0.00032,µg/g,mean,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
Hexachlorocyclohexane (Lindane-gamma BHC),L002,Aquatic Life - Marine,Sediment,Long,,Probable Effect Level,,,,0.00099,µg/g,mean,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
Imidacloprid,,Aquatic Life - Freshwater,Water,Long,,Reported in ug/L of active ingredient (a.i.),,,,0.23,µg/L,mean,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
Imidacloprid,,Aquatic Life - Marine,Water,Long,,Reported in ug/L of active ingredient (a.i.),,,,0.65,µg/L,mean,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
"Indeno(1,2,3,c,d)pyrene",PA13,Aquatic Life - Freshwater,Sediment,Long,,Lower SWQG; effect levels based on screening level concentration,,,,0.2,µg/g,mean,Working,"Ontario Ministry of Environment and Energy (MOEE). 1993. Guidelines for the protection and management of aquatic sediment quality in Ontario. Report No. ISBN 0772992487. Ontario Ministry of Environment, Water Resources Branch.",,,
"Indeno(1,2,3,c,d)pyrene",PA13,Aquatic Life - Freshwater,Sediment,Long,,Upper SWQG; effect levels based on screening level concentration,,,,3.21,µg/g,mean,Working,"Ontario Ministry of Environment and Energy (MOEE). 1993. Guidelines for the protection and management of aquatic sediment quality in Ontario. Report No. ISBN 0772992487. Ontario Ministry of Environment, Water Resources Branch.",,,
"Indeno(1,2,3,c,d)pyrene",PA13,Aquatic Life - Marine,Sediment,Long,,Lower SWQG,,,,0.341,µg/g,mean,Working,Washington State Department of Ecology (DoE). 2013. Sediment Management Standards.,https://fortress.wa.gov/ecy/publications/SummaryPages/1309055.html,,
"Indeno(1,2,3,c,d)pyrene",PA13,Aquatic Life - Marine,Sediment,Long,,Upper SWQG,,,,0.881,µg/g,mean,Working,Washington State Department of Ecology (DoE). 2013. Sediment Management Standards.,https://fortress.wa.gov/ecy/publications/SummaryPages/1309055.html,,
IPBC (3-lodo-2-propynlbutylcarbamate),IPBC,Aquatic Life - Freshwater,Water,Long,,,,,,1.9,µg/L,mean,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
Iron Dissolved,FE-D,Aquatic Life - Freshwater,Water,Short,,,,,,0.35,mg/L,max,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/iron-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/iron-tech.pdf
Iron Total,FE-T,Aquatic Life - Freshwater,Water,Short,,,,,,1,mg/L,max,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/iron-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/iron-tech.pdf
Iron Total,FE-T,Drinking Water - Aesthetic,Water,Short,,,,,,0.3,mg/L,mean,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/drinking-water-and-recreation/source_drinking_water_quality_guidelines_bcenv.pdf,
Iron Total,FE-T,Aquatic Life - Freshwater,Sediment,Long,,Lower SWQG; effect levels based on screening level concentration,,,,"21,200",µg/g,mean,Working,"Jaagumagi, R. 1993. Development of the Ontario Provincial Sediment Quality Guidelines for Arsenic, Cadmium, Chromium, Copper, Iron, Lead, Manganese, Mercury, Nickel, and Zinc. Water Resources Branch, Ontario Ministry of the Environment.",,,
Iron Total,FE-T,Aquatic Life - Freshwater,Sediment,Long,,Upper SWQG; effect levels based on screening level concentration,,,,"43,766",µg/g,mean,Working,"Jaagumagi, R. 1993. Development of the Ontario Provincial Sediment Quality Guidelines for Arsenic, Cadmium, Chromium, Copper, Iron, Lead, Manganese, Mercury, Nickel, and Zinc. Water Resources Branch, Ontario Ministry of the Environment.",,,
Lead - Tetra-ethyl lead,,Aquatic Life - Freshwater,Water,Long,,,,,,0.0007,µg/L,mean,Working,"Ontario Ministry of Environment and Energy.  1994. Water Management Policies, Guidelines, Provincial Water Quality Objectives of the Ministry of Environment and Energy. 32 p.",,,
Lead - Tetra-methyl lead,,Aquatic Life - Freshwater,Water,Long,,,,,,0.006,µg/L,mean,Working,"Ontario Ministry of Environment and Energy.  1994. Water Management Policies, Guidelines, Provincial Water Quality Objectives of the Ministry of Environment and Energy. 32 p.",,,
Lead Total,PB-T,Aquatic Life - Freshwater,Water,Short,,,,EMS_0107 | EMS_1107 <= 8,,3,µg/L,max,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/lead-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/lead-tech.pdf
Lead Total,PB-T,Aquatic Life - Freshwater,Water,Short,,,,EMS_0107 | EMS_1107 > 8,,exp(1.273 * log(EMS_0107) - 1.460),µg/L,max,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/lead-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/lead-tech.pdf
Lead Total,PB-T,Agriculture - Irrigation,Water,Short,,All other soils (except neutral and alkaline fine textured soils),,,,200,µg/L,max,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/lead-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/lead-tech.pdf
Lead Total,PB-T,Agriculture - Irrigation,Water,Short,,Neutral and alkaline fine textured soils,,,,400,µg/L,max,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/lead-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/lead-tech.pdf
Lead Total,PB-T,Agriculture - Livestock,Water,Short,,,,,,100,µg/L,max,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/lead-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/lead-tech.pdf
Lead Total,PB-T,Aquatic Life - Marine,Water,Short,,,,,,140,µg/L,max,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/lead-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/lead-tech.pdf
Lead Total,PB-T,Wildlife,Water,Short,,,,,,100,µg/L,max,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/lead-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/lead-tech.pdf
Lead Total,PB-T,Aquatic Life - Freshwater,Sediment,Long,,Interim Sediment Quality Guideline,,,,35,µg/g,mean,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
Lead Total,PB-T,Aquatic Life - Freshwater,Sediment,Long,,Probable Effect Level,,,,91.3,µg/g,mean,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
Lead Total,PB-T,Aquatic Life - Marine,Sediment,Long,,Interim Sediment Quality Guideline,,,,30.2,µg/g,mean,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
Lead Total,PB-T,Aquatic Life - Marine,Sediment,Long,,Probable Effect Level,,,,112,µg/g,mean,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
Lead Total,PB-T,Aquatic Life - Freshwater,Water,Long,,,,EMS_0107 | EMS_1107 > 8,,exp(1.273 * log(EMS_0107) - 4.704) + 3.31,µg/L,mean,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/lead-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/lead-tech.pdf
Lead Total,PB-T,Aquatic Life - Marine,Water,Long,,,,,,2,µg/L,mean,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/lead-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/lead-tech.pdf
Linear alkylbenzene sulphonates (LAS),,Aquatic Life - Freshwater,Water,Long,,,,,,65,µg/L,mean,Working,"Australia and New Zealand Environment and Conservation Council (ANZECC). 2000a. Australian and New Zealand guidelines for fresh and marine water quality, 2000. Volume 1, October 2000. National Water Quality Management Strategy, Paper No. 4. Canberra, AU: Australian and New Zealand Environment and Conservation. 314p.",http://www.waterquality.gov.au/anz-guidelines/resources/previous-guidelines/anzecc-armcanz-2000,,
Linuron,M032,Aquatic Life - Freshwater,Water,Long,,,,,,7,µg/L,mean,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
Linuron,M032,Agriculture - Irrigation,Water,Long,,"Cereals, hay and pastures",,,,3.3,µg/L,mean,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
Linuron,M032,Agriculture - Irrigation,Water,Long,,Other crops (e.g. tomato),,,,0.071,µg/L,mean,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
Lithium Total,LI-T,Agriculture - Irrigation,Water,Long,,May not be protective of barley and other cereal crops; 1.0 mg/L suggested for cereal crops.,,,,2.5,mg/L,mean,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
Lithium Total,LI-T,Agriculture - Irrigation,Water,Long,,Citrus,,,,0.75,mg/L,mean,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
Malathion,M001,Aquatic Life - Freshwater,Water,Long,,,,,,0.1,µg/L,mean,Working,"US Environmental Protection Agency. 1986.  Quality criteria for water 1986. (The Gold Book) Washington, DC (US): Office of Water Regulations and Standards. 477 p. EPA 440/5-86-001.",,,
Malathion,M001,Aquatic Life - Marine,Water,Long,,,,,,0.1,µg/L,mean,Working,"US Environmental Protection Agency. 1986.  Quality criteria for water 1986. (The Gold Book) Washington, DC (US): Office of Water Regulations and Standards. 477 p. EPA 440/5-86-001.",,,
Manganese Total,MN-T,Aquatic Life - Freshwater,Water,Short,,,,,,0.01102 * EMS_0107 + 0.54,mg/L,max,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/manganese-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/manganese-tech.pdf
Manganese Total,MN-T,Drinking Water - Aesthetic,Water,Short,,,,,,0.05,mg/L,mean,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/drinking-water-and-recreation/source_drinking_water_quality_guidelines_bcenv.pdf,
Manganese Total,MN-T,Aquatic Life - Freshwater,Water,Long,,,,,,0.0044 * EMS_0107 + 0.605,mg/L,mean,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/manganese-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/manganese-tech.pdf
Manganese Total,MN-T,Aquatic Life - Freshwater,Sediment,Long,,Lower SWQG; effect levels based on screening level concentration,,,,460,µg/g,mean,Working,"Jaagumagi, R. 1993. Development of the Ontario Provincial Sediment Quality Guidelines for Arsenic, Cadmium, Chromium, Copper, Iron, Lead, Manganese, Mercury, Nickel, and Zinc. Water Resources Branch, Ontario Ministry of the Environment.",,,
Manganese Total,MN-T,Aquatic Life - Freshwater,Sediment,Long,,Upper SWQG; effect levels based on screening level concentration,,,,1100,µg/g,mean,Working,"Jaagumagi, R. 1993. Development of the Ontario Provincial Sediment Quality Guidelines for Arsenic, Cadmium, Chromium, Copper, Iron, Lead, Manganese, Mercury, Nickel, and Zinc. Water Resources Branch, Ontario Ministry of the Environment.",,,
Manganese Total,MN-T,Dietary,Water,Long,,To protect consumers of shellfish,,,,100,µg/L,mean,Working,"US Environmental Protection Agency. 1986.  Quality criteria for water 1986. (The Gold Book) Washington, DC (US): Office of Water Regulations and Standards. 477 p. EPA 440/5-86-001.",,,
Manganese Total,MN-T,Agriculture - Irrigation,Water,Long,,,,,,200,µg/L,mean,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
Mercury Total,HG-T,Drinking Water,Water,Short,,,,,,0.001,mg/L,max,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/drinking-water-and-recreation/source_drinking_water_quality_guidelines_bcenv.pdf,
Mercury Total,HG-T,Agriculture - Irrigation,Water,Short,,,,,,2,µg/L,max,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/mercury-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/mercury-tech.pdf
Mercury Total,HG-T,Agriculture - Livestock,Water,Short,,,,,,3,µg/L,max,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/mercury-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/mercury-tech.pdf
Mercury Total,HG-T,Aquatic Life - Freshwater,Sediment,Long,,Interim Sediment Quality Guideline,,,,0.17,µg/g,mean,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
Mercury Total,HG-T,Aquatic Life - Freshwater,Sediment,Long,,Probable Effect Level,,,,0.486,µg/g,mean,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
Mercury Total,HG-T,Aquatic Life - Marine,Sediment,Long,,Interim Sediment Quality Guideline,,,,0.13,µg/g,mean,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
Mercury Total,HG-T,Aquatic Life - Marine,Sediment,Long,,Probable Effect Level,,,,0.7,µg/g,mean,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
Mercury Total,HG-T,Tissue (Dietary),Tissue,Long,,In fish or shellfish consumed by wildlife,,,,0.033,µg/g,mean,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/mercury-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/mercury-tech.pdf
Mercury Total,HG-T,Aquatic Life - Freshwater,Water,Long,,,,(EMS_HGME / EMS_HG_T * 100) <= 0.5,,0.02,µg/L,mean,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/mercury-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/mercury-tech.pdf
Mercury Total,HG-T,Aquatic Life - Freshwater,Water,Long,,,,(EMS_HGME / EMS_HG_T * 100) > 0.5,,10^(-4) / (EMS_HGME / EMS_HG_T),µg/L,mean,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/mercury-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/mercury-tech.pdf
Methlychlorophenoxyacetic acid (4-chloro-2-methylphenoxy acetic acid) (MCPA),M010,Aquatic Life - Freshwater,Water,Long,,,,,,2.6,µg/L,mean,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
Methlychlorophenoxyacetic acid (4-chloro-2-methylphenoxy acetic acid) (MCPA),M010,Agriculture - Irrigation,Water,Long,,,,,,0.025,µg/L,mean,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
Methlychlorophenoxyacetic acid (4-chloro-2-methylphenoxy acetic acid) (MCPA),M010,Agriculture - Livestock,Water,Long,,,,,,25,µg/L,mean,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
Methlychlorophenoxyacetic acid (4-chloro-2-methylphenoxy acetic acid) (MCPA),M010,Aquatic Life - Marine,Water,Long,,,,,,4.2,µg/L,mean,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
Methyl Tertiary Butyl Ether Total,MTBE,Aquatic Life - Freshwater,Water,Short,,,,,,3.4,mg/L,max,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/methyl-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/mtbe-tech.pdf
Methyl Tertiary Butyl Ether Total,MTBE,Agriculture - Livestock,Water,Short,,"Concentrations above the taste and odour thresholds that are below the livestock WQG may result in certain livestock avoicing water, reducing consumption, and suffering adverse effects.",,,,11,mg/L,max,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/methyl-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/mtbe-tech.pdf
Methyl Tertiary Butyl Ether Total,MTBE,Aquatic Life - Marine,Water,Short,,,,,,0.44,mg/L,max,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/methyl-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/mtbe-tech.pdf
Methyl Tertiary Butyl Ether Total,MTBE,Drinking Water - Aesthetic,Water,Short,,,,,,0.015,mg/L,mean,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/drinking-water-and-recreation/source_drinking_water_quality_guidelines_bcenv.pdf,
Methylated naphthalene,PA14,Aquatic Life - Marine,Water,Long,,,,,,1,µg/L,mean,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/pahs/pahs-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/pahs/pahs-tech.pdf
Metolachlor,M005,Aquatic Life - Freshwater,Water,Long,,,,,,7.8,µg/L,mean,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
Metolachlor,M005,Agriculture - Irrigation,Water,Long,,,,,,28,µg/L,mean,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
Metolachlor,M005,Agriculture - Livestock,Water,Long,,,,,,50,µg/L,mean,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
Metribuzin,M006,Aquatic Life - Freshwater,Water,Long,,,,,,1,µg/L,mean,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
Metribuzin,M006,Agriculture - Irrigation,Water,Long,,,,,,0.5,µg/L,mean,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
Metribuzin,M006,Agriculture - Livestock,Water,Long,,,,,,80,µg/L,mean,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
Mirex,M024,Aquatic Life - Freshwater,Sediment,Long,,Lower SWQG; effect levels based on screening level concentration,,,,0.0071,µg/g,mean,Working,"Jaagumagi, R. 1993. Development of the Ontario Provincial Sediment Quality Guidelines for PCBs and the Organochlorine Pesticides. Water Resources Branch, Ontario Ministry of the Environment.",,,
Mirex,M024,Aquatic Life - Freshwater,Sediment,Long,,Upper SWQG; effect levels based on screening level concentration,,,,1.31,µg/g,mean,Working,"Jaagumagi, R. 1993. Development of the Ontario Provincial Sediment Quality Guidelines for PCBs and the Organochlorine Pesticides. Water Resources Branch, Ontario Ministry of the Environment.",,,
Molybdenum Total,MO-T,Drinking Water,Water,Short,,,,,,0.25,mg/L,max,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/drinking-water-and-recreation/source_drinking_water_quality_guidelines_bcenv.pdf,
Molybdenum Total,MO-T,Aquatic Life - Freshwater,Water,Short,,,,,,2,mg/L,max,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/molybdenum-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/molybdenum-tech.pdf
Molybdenum Total,MO-T,Agriculture - Irrigation,Water,Short,,"For forage crops - poorly drained soils, Cu:Mo ration <2:1 in the irrigation water",,,,0.01,mg/L,max,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/molybdenum-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/molybdenum-tech.pdf
Molybdenum Total,MO-T,Agriculture - Irrigation,Water,Short,,"For forage crops - poorly drained soils, Cu:Mo ration >2:1 in the irrigation water",,,,0.02,mg/L,max,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/molybdenum-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/molybdenum-tech.pdf
Molybdenum Total,MO-T,Agriculture - Irrigation,Water,Short,,For forage crops - well drained soil,,,,0.02,mg/L,max,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/molybdenum-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/molybdenum-tech.pdf
Molybdenum Total,MO-T,Agriculture - Livestock,Water,Short,,All other cases,,,,0.05,mg/L,max,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/molybdenum-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/molybdenum-tech.pdf
Molybdenum Total,MO-T,Agriculture - Livestock,Water,Short,,Consuming forages not irrigated or if no molybdenum containing fertilizers are applied to grow feed consumed by livestock,,,,0.08,mg/L,max,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/molybdenum-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/molybdenum-tech.pdf
Molybdenum Total,MO-T,Wildlife,Water,Short,,,,,,0.05,mg/L,max,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/molybdenum-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/molybdenum-tech.pdf
Molybdenum Total,MO-T,Aquatic Life - Freshwater,Water,Long,,,,,,1,mg/L,mean,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/molybdenum-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/molybdenum-tech.pdf
Molybdenum Total,MO-T,Agriculture - Irrigation,Water,Long,,All soils and non-forage crops,,,,0.03,mg/L,mean,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/molybdenum-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/molybdenum-tech.pdf
